x,y,color
764.5804103815273,356.10738304986046,0
786.0000614207768,346.1375790525336,0
812.2877569384246,355.5603269024934,0
844.3735163966121,277.1478183462986,0
886.3481807028382,258.20811524723683,0
936.8914938848523,298.0960033247178,0
934.8230552464169,291.14911065861116,0
1000.2108894348238,281.36818108350167,0
1040.719223417516,282.0459518318471,0
1031.471401208152,293.7701434547666,0
1053.5151224375254,253.4807671576753,0
1054.1675840993685,279.48984012877116,0
1036.9934930314955,279.7104086600955,0
970.2677984219389,332.0445458809392,0
999.0770943151355,322.3685043717681,0
976.7982219524011,377.2812911523409,0
894.3104894178822,354.66176884660626,0
868.9258467907933,422.4043049979113,0
859.2586141572905,415.22793506426336,0
765.5015411968998,450.46181286540644,0
763.2351419109036,440.5273172405012,0
780.7698285654793,443.82877372281143,0
777.1501696410854,420.4376742182798,0
870.0643416633334,410.2558032187923,0
894.0746789733143,374.8293590984646,0
910.3912621125279,343.07529588481503,0
926.2443050747827,318.7484999292132,0
1005.985660497055,292.5100464925062,0
1028.1371664536916,269.1679963439447,0
982.0783366156746,273.5083229610076,0
1016.9926433760177,241.77430162317475,0
961.7870098433975,283.0831510370744,0
907.4270989238863,296.14323405002176,0
897.2901424211167,337.4273518662965,0
842.4813314243298,368.9647858116535,0
807.4997707022828,368.28354992432463,0
799.2671806757005,389.806265805951,0
778.5218437746875,429.9679687390446,0
824.1332819047773,474.3792922374418,0
852.7654789913855,464.7712015557725,0
842.93767750022,427.56486400199475,0
922.7259800330697,410.43349445072295,0
979.1350109142618,420.6634348922455,0
1007.2040960908979,416.505930082345,0
995.4146884321295,377.2846692648048,0
1046.8644960503905,289.0774991301761,0
1085.0982978075922,295.5699126832721,0
1059.773823298557,289.82453711152624,0
1030.541190504787,334.2123561669317,0
1032.6190055394122,343.18751461570827,0
979.8153473382233,390.12808547813927,0
921.134849052736,443.69534779654106,0
925.1302060837514,434.9792659368015,0
891.0373643426462,467.7420650372068,0
834.7510131183006,445.15450285045824,0
863.2857655712041,459.5106468981846,0
820.6680808238859,451.0671161845117,0
789.0798561732315,449.9023774801808,0
752.7606820172153,479.82029540364283,0
791.723847591265,493.6203006453451,0
793.1434856540676,516.7025465414708,0
869.5331050520017,518.5325902997071,0
930.6293958575095,476.9203577667115,0
920.2150921119904,479.570804532279,0
932.8539389353729,463.9252674024096,0
954.0072424820931,435.1994547131503,0
957.2624163059601,429.28309848044614,0
863.4491105585679,498.3997919997478,0
